case_id,margin_level,response,persistence,policy,period,period_profit,total_d2c_quantity,total_retailer_quantity,average_exposure,average_order_state,capacity_used,listed_A,listed_B,listed_C,listed_D,d2c_quantity_A,d2c_quantity_B,d2c_quantity_C,d2c_quantity_D,retailer_quantity_R1_A,retailer_quantity_R1_C,retailer_quantity_R2_A,retailer_quantity_R2_D,retailer_quantity_R3_B,retailer_quantity_R3_C,retailer_quantity_R3_D,exposure_R1,exposure_R2,exposure_R3,order_state_R1,order_state_R2,order_state_R3
C009,0.5,0.6,0.9,lookahead,1,2055.0,100.0,170.0,0.4444444444444444,1.0,270.0,1,1,0,0,50.0,50.0,0.0,0.0,40.0,30.0,25.0,20.0,25.0,15.0,15.0,0.5,0.5,0.3333333333333333,1.0,1.0,1.0
C009,0.5,0.6,0.9,lookahead,2,2054.1,100.0,170.0,0.4444444444444444,0.9733333333333333,270.0,1,1,0,0,50.0,50.0,0.0,0.0,38.8,29.1,26.2,21.5,25.0,14.7,14.7,0.5,0.5,0.3333333333333333,0.97,0.97,0.98
C009,0.5,0.6,0.9,lookahead,3,2053.29,100.0,170.0,0.4444444444444444,0.9493333333333333,270.0,1,1,0,0,50.0,50.0,0.0,0.0,31.995000000000005,28.29,33.004999999999995,28.29,25.0,8.990000000000009,14.43,0.5,0.5,0.3333333333333333,0.943,0.943,0.962
C010,1.0,0.2,0.4,myopic,1,2155.0,100.0,170.0,0.4444444444444444,1.0,270.0,1,1,0,0,50.0,50.0,0.0,0.0,30.0,30.0,35.0,30.0,25.0,5.0,15.0,0.5,0.5,0.3333333333333333,1.0,1.0,1.0
C010,1.0,0.2,0.4,myopic,2,2153.2000000000003,100.0,170.00000000000006,0.4444444444444444,0.9466666666666667,270.00000000000006,1,1,0,0,50.0,50.0,0.0,0.0,32.1,28.200000000000003,32.9,28.200000000000003,25.0,9.200000000000049,14.4,0.5,0.5,0.3333333333333333,0.9400000000000001,0.9400000000000001,0.96
C010,1.0,0.2,0.4,myopic,3,2152.48,100.0,170.0,0.4444444444444444,0.9253333333333335,270.0,1,1,0,0,50.0,50.0,0.0,0.0,32.94,27.480000000000004,32.06,27.480000000000004,25.0,10.879999999999981,14.159999999999997,0.5,0.5,0.3333333333333333,0.9160000000000001,0.9160000000000001,0.944
C010,1.0,0.2,0.4,lookahead,1,2155.0,100.0,170.0,0.4444444444444444,1.0,270.0,1,1,0,0,50.0,50.0,0.0,0.0,40.0,30.0,25.0,20.0,25.0,15.0,15.0,0.5,0.5,0.3333333333333333,1.0,1.0,1.0
C010,1.0,0.2,0.4,lookahead,2,2153.2,100.0,170.0,0.4444444444444444,0.9466666666666667,270.0,1,1,0,0,50.0,50.0,0.0,0.0,37.6,28.2,27.4,23.0,25.0,14.4,14.4,0.5,0.5,0.3333333333333333,0.9400000000000001,0.9400000000000001,0.96
C010,1.0,0.2,0.4,lookahead,3,2152.48,100.0,170.0,0.4444444444444444,0.9253333333333335,270.0,1,1,0,0,50.0,50.0,0.0,0.0,32.94,27.480000000000004,32.06,27.480000000000004,25.0,10.879999999999981,14.159999999999997,0.5,0.5,0.3333333333333333,0.9160000000000001,0.9160000000000001,0.944
C011,1.0,0.2,0.7,myopic,1,2155.0,100.0,170.0,0.4444444444444444,1.0,270.0,1,1,0,0,50.0,50.0,0.0,0.0,30.0,30.0,35.0,30.0,25.0,5.0,15.0,0.5,0.5,0.3333333333333333,1.0,1.0,1.0
C011,1.0,0.2,0.7,myopic,2,2154.1000000000004,100.0,170.0,0.4444444444444444,0.9733333333333333,270.0,1,1,0,0,50.0,50.0,0.0,0.0,31.05,29.1,33.95,29.1,25.0,7.1,14.7,0.5,0.5,0.3333333333333333,0.97,0.97,0.98
C011,1.0,0.2,0.7,myopic,3,2153.4700000000003,100.0,170.0,0.4444444444444444,0.9546666666666667,270.0,1,1,0,0,50.0,50.0,0.0,0.0,31.784999999999997,28.470000000000002,33.215,28.470000000000002,25.0,8.569999999999993,14.489999999999998,0.5,0.5,0.3333333333333333,0.9490000000000001,0.9490000000000001,0.966
C011,1.0,0.2,0.7,lookahead,1,2155.0,100.0,170.0,0.4444444444444444,1.0,270.0,1,1,0,0,50.0,50.0,0.0,0.0,40.0,30.0,25.0,20.0,25.0,15.0,15.0,0.5,0.5,0.3333333333333333,1.0,1.0,1.0
C011,1.0,0.2,0.7,lookahead,2,2154.1,100.0,170.0,0.4444444444444444,0.9733333333333333,270.0,1,1,0,0,50.0,50.0,0.0,0.0,38.8,29.1,26.2,21.5,25.0,14.7,14.7,0.5,0.5,0.3333333333333333,0.97,0.97,0.98
C011,1.0,0.2,0.7,lookahead,3,2153.4700000000003,100.0,170.0,0.4444444444444444,0.9546666666666667,270.0,1,1,0,0,50.0,50.0,0.0,0.0,31.784999999999997,28.470000000000002,33.215,28.470000000000002,25.0,8.569999999999993,14.489999999999998,0.5,0.5,0.3333333333333333,0.9490000000000001,0.9490000000000001,0.966
C012,1.0,0.2,0.9,myopic,1,2155.0,100.0,170.0,0.4444444444444444,1.0,270.0,1,1,0,0,50.0,50.0,0.0,0.0,30.0,30.0,35.0,30.0,25.0,5.0,15.0,0.5,0.5,0.3333333333333333,1.0,1.0,1.0
